Language,Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
To Polish,English to Polish,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
To Polish,German to Polish,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Romanian,English to Romanian,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
To Serbo-Croatian,English to Serbo-Croatian,Yes,No,?,Yes,Yes,No,No,Yes,No,No
To Slovenian,English to Slovenian,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Slovenian,German to Slovenian,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Swedish,English to Swedish,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
To Turkish,English to Turkish,Yes,No,No,Yes,No,No,Yes,No,Yes,No
To Ukrainian,English to Ukrainian,No,No,?,Yes,Yes,No,Yes,No,Yes,No
Total (confirmed),Total (confirmed),92,28,9,110,31,89,103,15,65,59
