GeForce GT 630,"May 29, 2013",GK208-301-A1,TSMC 28 nm,1020,79,PCIe 2.0 ×8,1,384:16:8,902,N/A,N/A,902,900 (1800),7.22,14.44,1024 2048,14.4,DDR3,64,1.0[29],12,4.6,1.2,692.7,Unknown,25,
GeForce GT 635,"February 19, 2013",GK208,TSMC 28 nm,1020,79,PCIe 3.0 ×8,1,384:16:8,967,N/A,N/A,967,1001 (2002),7.74,15.5,1024 2048,16,DDR3,64,1.0[29],12,4.6,1.2,742.7,Unknown,35,OEM
GeForce GT 6408,"April 24, 2012",GF116,TSMC 40 nm,1170,238,PCIe 2.0 ×16,3,144:24:24,720,N/A,N/A,1440,891 (1782),17.3,17.3,1536 3072,42.8,DDR3,192,n/a[29],12,4.6,1.2,414.7,Unknown,75,OEM
GeForce GT 6408,"April 24, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 ×16,2,384:32:16,797,N/A,N/A,797,891 (1782),12.8,25.5,1024 2048,28.5,DDR3,128,1.0[29],12,4.6,1.2,612.1,25.50,50,OEM
GeForce GT 6408,"June 5, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 ×16,2,384:32:16,900,N/A,N/A,900,891 (1782),14.4,28.8,2048 4096,28.5,DDR3,128,1.0[29],12,4.6,1.2,691.2,28.8,65,$100
GeForce GT 6408,"April 24, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 ×16,2,384:32:16,950,N/A,N/A,950,1250 (5000),15.2,30.4,1024 2048,80,GDDR5,128,1.0[29],12,4.6,1.2,729.6,30.40,75,OEM
GeForce GT 6408,"May 29, 2013",GK208-400-A1,TSMC 28 nm,1020,79,PCIe 2.0 ×8,2,384:16:8,1046,N/A,N/A,1046,1252 (5008),8.37,16.7,1024,40.1,GDDR5,64,1.0[29],12,4.6,1.2,803.3,Unknown,49,
GeForce GT 6459,"April 24, 2012",GF114-400-A1,TSMC 40 nm,1950,332,PCIe 2.0 ×16,6,288:48:24,776,N/A,N/A,1552,1914,18.6,37.3,1024,91.9,GDDR5,192,n/a[29],12,4.6,1.2,894,Unknown,140,OEM
GeForce GTX 645,"April 22, 2013",GK106,TSMC 28 nm,2540,221,PCIe 3.0 ×16,3,576:48:16,823.5,888.5,N/A,823,1000 (4000),14.16,39.5,1024,64,GDDR5,128,1.0[29],12,4.6,1.2,948.1,39.53,64,OEM
GeForce GTX 650,"September 13, 2012",GK107-450-A2,TSMC 28 nm,1300,118,PCIe 3.0 ×16,2,384:32:16,1058,N/A,N/A,1058,1250 (5000),16.9,33.8,1024 2048,80,GDDR5,128,1.0[29],12,4.6,1.2,812.54,33.86,64,$110
GeForce GTX 650 Ti,"October 9, 2012",GK106-220-A1,TSMC 28 nm,2540,221,PCIe 3.0 ×16,4,768:64:16,928,N/A,N/A,928,1350 (5400),14.8,59.4,1024 2048,86.4,GDDR5,128,1.0[29],12,4.6,1.2,1425.41,59.39,110,$150 (130)
GeForce GTX 650 Ti Boost,"March 26, 2013",GK106-240-A1,TSMC 28 nm,2540,221,PCIe 3.0 ×16,4,768:64:24,980,1032,N/A,980,1502 (6008),23.5,62.7,1024 2048,144.2,GDDR5,192,1.0[29],12,4.6,1.2,1505.28,62.72,134,$170 (150)
GeForce GTX 660,"September 13, 2012",GK106-400-A1,TSMC 28 nm,2540,221,PCIe 3.0 ×16,5,960:80:24,980,1032,1084,980,1502 (6008),23.5,78.4,2048 3072,96.1+48.1 144.2,GDDR5,128+64 192,1.0[29],12,4.6,1.2,1881.6,78.40,140,$230 (180)
GeForce GTX 660,"August 22, 2012",GK104-200-KD-A2,TSMC 28 nm,3540,294,PCIe 3.0 ×16,6,1152:96:24 1152:96:32,823.5,888.5,899,823,1450 (5800),19.8,79,"1536
2048
3072",134,GDDR5,192 256,1.0[29],12,4.6,1.2,2108.6,79.06,130,OEM
GeForce GTX 660 Ti,"August 16, 2012",GK104-300-KD-A2,TSMC 28 nm,3540,294,PCIe 3.0 ×16,7,1344:112:24,915,980,1058,915,1502 (6008),22.0,102.5,2048,96.1+48.1 144.2,GDDR5,128+64 192,1.0[29],12,4.6,1.2,2459.52,102.48,150,$300
GeForce GTX 670,"May 10, 2012",GK104-325-A2,TSMC 28 nm,3540,294,PCIe 3.0 ×16,7,1344:112:32,915,980,1084,915,1502 (6008),29.3,102.5,2048 4096,192.256,GDDR5,256,1.0[29],12,4.6,1.2,2459.52,102.48,170,$400
GeForce GTX 680,"March 22, 2012",GK104-400-A2,TSMC 28 nm,3540,294,PCIe 3.0 ×16,8,1536:128:32,1006[41],1058,1110,1006,1502 (6008),32.2,128.8,2048 4096,192.256,GDDR5,256,1.0[29],12,4.6,1.2,3090.43,128.77,195,$500
GeForce GTX 690,"April 29, 2012",2× GK104-355-A2,TSMC 28 nm,2× 3540,2× 294,PCIe 3.0 ×16,2× 8,2× 1536:128:32,915,1019,1058,915,1502 (6008),2× 29.28,2× 117.12,2× 2048,2× 192.256,GDDR5,2× 256,1.0[29],12,4.6,1.2,2× 2810.88,2× 117.12,300,$1000
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config1,Clock rate,Clock rate,Clock rate,Clock rate,Clock rate,Fillrate,Fillrate,Memory configuration,Memory configuration,Memory configuration,Memory configuration,Supported API version,Supported API version,Supported API version,Supported API version,Processing power (GFLOPS)10,Processing power (GFLOPS)10,TDP (Watts),Release Price (USD)
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config1,Core (MHz),Average Boost (MHz),Max Boost (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Vulkan,Direct3D,OpenGL,OpenCL,Single precision,Double precision,TDP (Watts),Release Price (USD)
