Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
CIFAR-10 Dataset,"Many small, low-resolution, images of 10 classes of objects.","Classes labelled, training set splits created.","60,000",Images,Classification,2009,[59][74],A. Krizhevsky et al.
CIFAR-100 Dataset,"Like CIFAR-10, above, but 100 classes of objects are given.","Classes labelled, training set splits created.","60,000",Images,Classification,2009,[59][74],A. Krizhevsky et al.
CINIC-10 Dataset,"A unified contribution of CIFAR-10 and Imagenet with 10 classes, and 3 splits. Larger than CIFAR-10.","Classes labelled, training, validation, test set splits created.","270,000",Images,Classification,2018,[75],"Luke N. Darlow, Elliot J. Crowley, Antreas Antoniou, Amos J. Storkey"
Fashion-MNIST,A MNIST-like fashion product database,"Classes labelled, training set splits created.","60,000",Images,Classification,2017,[76],Zalando SE
notMNIST,"Some publicly available fonts and extracted glyphs from them to make a dataset similar to MNIST. There are 10 classes, with letters A-J taken from different fonts.","Classes labelled, training set splits created.","500,000",Images,Classification,2011,[77],Yaroslav Bulatov
German Traffic Sign Detection Benchmark Dataset,Images from vehicles of traffic signs on German roads. These signs comply with UN standards and therefore are the same as in other countries.,Signs manually labeled,900,Images,Classification,2013,[78][79],S Houben et al.
KITTI Vision Benchmark Dataset,Autonomous vehicles driving through a mid-size city captured images of various areas using cameras and laser scanners.,Many benchmarks extracted from data.,>100 GB of data,"Images, text","Classification, object detection",2012,[80][81],A Geiger et al.
Linnaeus 5 dataset,Images of 5 classes of objects.,"Classes labelled, training set splits created.",8000,Images,Classification,2017,[82],Chaladze & Kalatozishvili
FieldSAFE,"Multi-modal dataset for obstacle detection in agriculture including stereo camera, thermal camera, web camera, 360-degree camera, lidar, radar, and precise localization.",Classes labelled geographically.,>400 GB of data,Images and 3D point clouds,"Classification, object detection, object localization",2017,[83],M. Kragh et al.
11K Hands,"11,076 hand images (1600 x 1200 pixels) of 190 subjects, of varying ages between 18 – 75 years old, for gender recognition and biometric identification.",None,"11,076 hand images","Images and (.mat, .txt, and .csv) label files",Gender recognition and biometric identification,2017,[84],M Afifi
CORe50,"Specifically designed for Continuous/Lifelong Learning and Object Recognition, is a collection of more than 500 videos (30fps) of 50 domestic objects belonging to 10 different categories.","Classes labelled, training set splits created based on a 3-way, multi-runs benchmark.","164,866 RBG-D images","images (.png or .pkl)
and (.pkl, .txt, .tsv) label files","Classification, Object recognition",2017,[85],V. Lomonaco and D. Maltoni
OpenLORIS-Object,"Lifelong/Continual Robotic Vision dataset (OpenLORIS-Object) collected by real robots mounted with multiple high-resolution sensors, includes a collection of 121 object instances (1st version of dataset, 40 categories daily necessities objects under 20 scenes). The dataset has rigorously considered 4 environment factors under different scenes, including illumination, occlusion, object pixel size and clutter, and defines the difficulty levels of each factor explicitly.","Classes labelled, training/validation/testing set splits created by benchmark scripts.","1,106,424 RBG-D images","images (.png and .pkl)
and (.pkl) label files","Classification, Lifelong object recognition, Robotic Vision",2019,[86],Q. She et al.
THz and thermal video data set,"This multispectral data set includes terahertz, thermal, visual, near infrared, and three-dimensional videos of objects hidden under people's clothes.",3D lookup tables are provided that allow you to project images onto 3D point clouds.,More than 20 videos. The duration of each video is about 85 seconds (about 345 frames).,AP2J,Experiments with hidden object detection,2019,[87][88],Alexei A. Morozov and Olga S. Sushkova
