Common Lisp,(when condition  instructions) or  (unless condition  instructions) or  (if condition (progn instructions)«(progn instructions)»),(cond (condition1 instructions) (condition2 instructions)...«(t instructions)»),(case expression(case1 instructions)(case2 instructions)...«(otherwise instructions)»),(if test then else) (cond (test1 value1) (test2 value2) ...))
Scheme,(when conditioninstructions) or  (if condition (begin instructions) «(begin instructions)»),(cond (condition1 instructions) (condition2 instructions) ... «(else instructions)»),(case (variable) ((case1) instructions) ((case2) instructions) ... «(else instructions)»),(if condition valueIfTrue valueIfFalse)
ISLISP,(if condition (progn instructions)«(progn instructions)»),(cond (condition1 instructions) (condition2 instructions)...«(t instructions)»),(case expression(case1 instructions)(case2 instructions)...«(t instructions)»),(if condition valueIfTrue valueIfFalse)
Pascal,if condition then begin instructions end  «else begininstructionsend»[c],if condition then begin instructions end  else if condition then begininstructions end ... «else begininstructions end»[c],case variable of case1: instructions  ...  «else: instructions»end[c]
Visual Basic,"If condition Then instructions «Else instructions»End If
 
Single-line:
If we let instructions be:
statement : statement : ...
If condition Then instructions« Else instructions»","If condition Theninstructions ElseIf condition Theninstructions ...  «Else instructions»End If
 
Single-line:
See note about C-like languages; the Else clause of a single-line If statement can contain another single-line If statement.",Select« Case» variableCase case_pattern1instructions...«Case Elseinstructions»End Select,"IIf(condition, valueIfTrue, valueIfFalse)"
Visual Basic .NET,"If condition Then instructions «Else instructions»End If
 
Single-line:
If we let instructions be:
statement : statement : ...
If condition Then instructions« Else instructions»","If condition Theninstructions ElseIf condition Theninstructions ...  «Else instructions»End If
 
Single-line:
See note about C-like languages; the Else clause of a single-line If statement can contain another single-line If statement.",Select« Case» variableCase case_pattern1instructions...«Case Elseinstructions»End Select,"If(condition, valueIfTrue, valueIfFalse)"
Xojo,"If condition Then instructions «Else instructions»End If
 
Single-line:
If we let instructions be:
statement : statement : ...
If condition Then instructions« Else instructions»","If condition Theninstructions ElseIf condition Theninstructions ...  «Else instructions»End If
 
Single-line:
See note about C-like languages; the Else clause of a single-line If statement can contain another single-line If statement.",Select« Case» variableCase case_pattern1instructions...«Case Elseinstructions»End Select,"If(condition, valueIfTrue, valueIfFalse)"
Python [a],if condition :  Tab ↹ instructions  «else:  Tab ↹ instructions»,if condition :  Tab ↹ instructions  elif condition :  Tab ↹ instructions   ...  «else:  Tab ↹ instructions»,,valueIfTrue if condition else valueIfFalse (Python 2.5+)
S-Lang,if (condition) { instructions } «else { instructions }»,if (condition) { instructions } else if (condition) { instructions } ... «else { instructions }»,switch (variable) { case case1: instructions } { case case2: instructions } ...,
Fortran,IF (condition) THEN  instructions  ELSE  instructions  ENDIF,IF (condition) THEN  instructions  ELSEIF (condition) THEN  instructions  ...  ELSE  instructions  ENDIF,SELECT CASE(variable) CASE (case1)  instructions  ...  CASE DEFAULT  instructions   END SELECT,
Forth,condition IF instructions « ELSE instructions» THEN,condition IF instructions  ELSE condition IF instructions THEN THEN,value CASE case OF instructions ENDOF case OF instructions ENDOF      default instructions ENDCASE,condition IF valueIfTrue ELSE valueIfFalse THEN
OCaml,if condition then begin instructions end «else begin instructions end»,if condition then begin instructions end else if condition then begin instructions end ... «else begin instructions end»,match value with pattern1  -> expression | pattern2 -> expression  ... «| _ -> expression»[b],if condition then valueIfTrue else valueIfFalse
F#,"Lightweight syntax mode:
Either on a single line or with indentation as shown below:
 
if condition then Tab ↹ instructions  «else Tab ↹ instructions»
 
Verbose syntax mode:
Same as Standard ML (below).","Lightweight syntax mode:
Either on a single line or with indentation as shown below:
 
if condition then Tab ↹ instructions  elif condition then Tab ↹ instructions  ...  «else Tab ↹ instructions»
 
Verbose syntax mode:
Same as Standard ML (below).",match value with pattern1  -> expression | pattern2 -> expression  ... «| _ -> expression»[b],if condition then valueIfTrue else valueIfFalse
Standard ML,if condition then «(»instructions «)» else «(» instructions «)»,if condition then «(»instructions «)» else if condition then «(» instructions «)» ... else «(» instructions «)»,case value ofpattern1 => expression  | pattern2 => expression  ...  «| _ => expression»[b],if condition then valueIfTrue else valueIfFalse
Haskell (GHC),if condition then expression else expression or when condition (do instructions) or unless notcondition (do instructions),result | condition = expression | condition = expression | otherwise = expression,case value of {pattern1  -> expression; pattern2 ->expression;  ... «_ -> expression»}[b],if condition then valueIfTrue else valueIfFalse
Bash shell,"
if condition-command; then 
    expression 
«else 
    expression» 
fi","
if condition-command; then 
    expression 
elif condition-command; then 
    expression 
«else 
    expression» 
fi","
case ""$variable"" in 
""$condition1"" ) 
    command... 
""$condition2"" ) 
    command... 
esac",
CoffeeScript,if condition then expression «else expression»,if condition then expression else if condition then expression «else expression»,switch expression when condition then expression else expression,All conditions are expressions
CoffeeScript,if condition expression «else expression»,if condition expression else if condition expression «else expression»,switch expression when condition then expression else expression,All conditions are expressions
CoffeeScript,expression if condition,unless condition expression else unless condition expression «else expression»,switch expression when condition expression «else expression»,All conditions are expressions
CoffeeScript,unless condition expression «else expression»,unless condition expression else unless condition expression «else expression»,switch expression when condition expression «else expression»,All conditions are expressions
CoffeeScript,expression unless condition,unless condition expression else unless condition expression «else expression»,switch expression when condition expression «else expression»,All conditions are expressions
COBOL,IF condition «THEN»  expression  «ELSE  expression». [d],,EVALUATE expression «ALSO expression...»  WHEN case-or-condition «ALSO case-or-condition...»  expression   ...  «WHEN OTHER  expression»  END-EVALUATE,
,if,else if,select case,conditional expression
