OS-M2, China,OneSpace,390[110],,292 to SSO,0,TBA,
Pegasus, United States,Northrop Grumman,500[113],,,44[113][114],1990,2019
Prime, United Kingdom,Orbex,220[115],,150 to SSO[d][116],0,2021[116],
Proton-M / M+, Russia,Khrunichev,"23,000 (M+)[117]  21,600 (M)[118]","6,920 (M+)  6,150 (M)",,108[119][120][121],2001,2019
PSLV-CA, India,ISRO,"2,100[122]",,"1,100 to SSO",14[122],2007,2019
PSLV-DL, India,ISRO,,,,1[122],2019,2019
PSLV-QL, India,ISRO,,,,2[122],2019,2019
PSLV-XL, India,ISRO,"3,800[122]","1,300","1,750 to SSO 550 to TMI[123]",21[122],2008,2019
Qased, Iran,Operator: Iranian Revolutionary Guard Corps,,,,1,2020,2020
RS1, United States,ABL Space Systems,"1,350[124]",400,"1,000 to SSO 750 to MEO",0,2021[125],
Safir, Iran,Iranian Space Agency,65[126],,,7[126][t],2008,2019
Shavit, Israel,IAI,300[127],,,10[128],1988,2020
Simorgh, Iran,Iranian Space Agency,350[129],,,2[129][u],2017,2019
Soyuz-2.1a, Russia,TsSKB-Progress,"7,020 from Baikonur[130]",,,33[131][132][133],2006[v],2019
Soyuz-2.1b, Russia,TsSKB-Progress,"8,200 from Baikonur[130]","2,400[134]",,32[132][135],2006,2019
Soyuz ST-A, Russia   Europe,TsSKB-Progress  Arianespace,"7,800 from Kourou[136]","2,810 with Fregat[137]",,6[132],2011,2018
Soyuz ST-B, Russia   Europe,TsSKB-Progress  Arianespace,"9,000 from Kourou[138]","3,250 with Fregat[137]","4,400 to SSO[139]",16[132],2011,2019
Soyuz-2-1v, Russia,TsSKB-Progress,"2,800[140]",,"1,400 to SSO",5[140],2013,2019
Soyuz-5 / Irtysh, Russia,TsSKB-Progress RSC Energia,"18,000[141]",,"2,500 to GEO",0,2022[142][143],
Space Launch System Block 1[w], United States,NASA / Boeing (core)  Northrop Grumman (SRBs),"95,000[144]",,"26,000 to TLI[144]",0,2021[145],
SLS Block 1B[x], United States,NASA / Boeing  Northrop Grumman,"105,000[146]",,"37,000 to TLI[144]",0,2025[147],
SLS Block 2[y], United States,NASA / Boeing  Northrop Grumman,"130,000[148]",,"45,000 to HCO[144]",0,late 2020s (TBD),
SS-520, Japan,IHI Aerospace,4[149],,,2[150],2017[151][z],2018
SSLV, India,ISRO,500[152],,300 to SSO,0,2020[153],
Starship[154]  (Single launch), United States,SpaceX,"100,000+[154][note 5]","21,000[155]",,0,2021 (orbital)[156],
Starship[154]  (Additional refuelling launches), United States,SpaceX,"100,000+[154][note 6]","100,000+ [154]","100,000+ to Mars surface[154] 100,000+ to lunar surface[154]",0,2021-2023 (TBD)[157],
Terran 1, United States,Relativity Space,"1,250[158]",,900 to SSO,0,2021[159],
Unha, North Korea,KCST,100[160],,,4[161],2009[aa],2016
Vector-R, United States,Vector Launch,64,,,0 (+2),2017,2017
Vega, Europe,ESA / ASI,"1,500[ab][162]",,"1,330 to SSO[163]",15[164],2012,2019
Vega C, Europe,ESA / ASI,"2,200[ab][165]",,,0,2021[166],
Vega E, Europe,ESA / ASI,"3,000[ab][167]",,,0,2025[168],
Vikram l[169], India,Skyroot Aerospace[170],280,,200 to SSPO,0,2021[171],
Vikram ll[169], India,Skyroot Aerospace,520,,410 to SSPO,0,TBA,
Vikram lll[169], India,Skyroot Aerospace,720,,580 to SSPO,0,TBA,
Vulcan / Centaur, United States,ULA,"27,200[172]","14,400[172]","7,200 to GEO[172] 12,100 to TLI",0,2021[173],
Yun Feng, Taiwan,National Chung-Shan Institute of Science and Technology,200[174],,,0,TBA,
Yenisei[175], Russia,TsSKB-Progress RSC Energia,"88,000 – 115,000[143]",,"27,000 to TLI[176][177][178]",0,2028[177],"
 "
Zero, Japan,Interstellar Technologies,,,100 to SSO[d][179],0,2022–2023[180],
Zhuque-1, China,LandSpace,300[181],,200 to SSO,1[182],2018[182],2018
Zhuque-2, China,LandSpace,"4,000[183]",,"2,000 to SSO",0,2021[184],
