Rank,Country/US state,USD
68, France (European Union),"41,760"
69, United Kingdom,"41,030"
70, Japan,"40,846"
71, New Zealand,"40,634"
72, Mississippi (United States),"40,464"
73, United Arab Emirates,"37,749"
74," Bahamas, The","33,261"
75, Italy (European Union),"32,946"
76," Korea, South","31,430"
77, Malta (European Union),"30,650"
78, Spain (European Union),"29,961"
79, Kuwait,"29,266"
80, Brunei,"27,871"
81, Cyprus (European Union),"27,719"
82, Slovenia (European Union),"26,170"
83, Bahrain,"25,273"
84, Estonia (European Union),"23,523"
85, Czechia (European Union),"23,213"
86, Portugal (European Union),"23,030"
87, Saudi Arabia,"22,865"
88, Greece (European Union),"19,974"
89, Slovakia (European Union),"19,547"
90, Lithuania (European Union),"19,266"
91, Saint Kitts and Nevis,"18,245"
92, Latvia (European Union),"18,171"
93, Antigua and Barbuda,"18,109"
94, Barbados,"18,069"
95, Oman,"17,791"
96, Hungary (European Union),"17,463"
97, Seychelles,"17,052"
98, Uruguay,"17,029"
99, Palau,"16,736"
100, Trinidad and Tobago,"16,365"
101, Panama,"16,245"
102, Chile,"15,399"
103, Maldives,"15,562"
104, Croatia (European Union),"14,949"
105, Poland (European Union),"14,901"
106, Romania (European Union),"12,482"
107, Costa Rica,"12,014"
108, Grenada,"11,381"
109, Mauritius,"11,360"
—, World,"11,355"
110, Russia,"11,162"
111, Malaysia,"11,136"
112, Saint Lucia,"11,075"
113, Mexico,"10,118"
114, People's Republic of China,"10,098"
115, Argentina,"9,887"
116, Lebanon,"9,654"
117, Bulgaria (European Union),"9,518"
118, Kazakhstan,"9,139"
119, Turkey,"8,957"
120, Equatorial Guinea,"8,927"
121, Brazil,"8,796"
122, Montenegro,"8,703"
123, Dominican Republic,"8,629"
124, Dominica,"8,380"
125, Nauru,"8,270"
126, Gabon,"8,112"
127, Botswana,"7,859"
128, Turkmenistan,"7,816"
129, Thailand,"7,791"
130, Saint Vincent and the Grenadines,"7,750"
131, Serbia,"7,397"
132, Peru,"7,046"
133, Belarus,"6,603"
134, Colombia,"6,508"
135, Fiji,"6,379"
136, Suriname,"6,310"
137, Ecuador,"6,249"
138, South Africa,"6,100"
139, North Macedonia,"6,096"
140, Namibia,"5,842"
141, Bosnia and Herzegovina,"5,741"
142, Iraq,"5,738"
143, Paraguay,"5,692"
144, Iran,"5,506"
145, Jamaica,"5,460"
146, Albania,"5,372"
147, Guyana,"5,252"
148, Libya,"5,019"
149, Belize,"4,925"
150, Tonga,"4,862"
151, Azerbaijan,"4,689"
152, Guatemala,"4,616"
153, Armenia,"4,527"
154, Samoa,"4,500"
155, Jordan,"4,386"
156, Georgia,"4,289"
157, Eswatini,"4,176"
158, Indonesia,"4,163"
159, Mongolia,"4,132"
160, El Salvador,"4,008"
161, Algeria,"3,980"
162, Sri Lanka,"3,946"
163, Marshall Islands,"3,924"
164, Tuvalu,"3,834"
165," Micronesia, Federated States of","3,717"
166, Bolivia,"3,670"
167, Cape Verde,"3,598"
168, Ukraine,"3,592"
169, Bhutan,"3,423"
170, Morocco,"3,345"
171, Moldova,"3,300"
172, Philippines,"3,294"
173, Tunisia,"3,287"
174, Vanuatu,"3,260"
175, Egypt,"3,046"
176, Angola,"3,037"
177, Djibouti,"2,936"
178, Papua New Guinea,"2,742"
179, Vietnam,"2,740"
180, Laos,"2,670"
181, Honduras,"2,548"
182, Venezuela,"2,547"
183," Congo, Republic of the","2,534"
184, East Timor,"2,262"
185, Solomon Islands,"2,246"
186, Ghana,"2,223"
187, Nigeria,"2,222"
188, India,"2,171"
189, Kenya,"1,997"
190, São Tomé and Príncipe,"1,933"
191, Nicaragua,"1,919"
192, Bangladesh,"1,905"
193, Uzbekistan,"1,831"
194, Côte d'Ivoire,"1,691"
195, Cambodia,"1,620"
196, Kiribati,"1,574"
197, Cameroon,"1,514"
198, Senegal,"1,427"
199, Mauritania,"1,392"
200, Pakistan,"1,388"
201, Comoros,"1,349"
202, Lesotho,"1,338"
203, Zambia,"1,307"
204, Kyrgyzstan,"1,292"
205, Myanmar,"1,244"
206, Benin,"1,216"
207, Tanzania,"1,104"
208,   Nepal,"1,047"
209, Guinea,981
210, Ethiopia,953
211, Yemen,943
212, Mali,924
213, Tajikistan,877
214, Chad,861
215, Zimbabwe,859
216, Rwanda,824
217, Guinea-Bissau,786
218, Haiti,784
219, Uganda,770
220," Gambia, The",755
221, Burkina Faso,717
222, Sudan,714
223, Liberia,703
224, Togo,671
225, Sierra Leone,546
226, Afghanistan,513
227," Congo, Democratic Republic of the",500
228, Mozambique,484
229, Madagascar,463
230, Central African Republic,447
231, Niger,405
232, Malawi,370
233, Eritrea,342
234, Burundi,309
235, South Sudan,275
