Blacklist operator,DNS blacklist,Zone,Listing goal,Nomination,Listing lifetime,Notes,Collateral listings,Notifies upon listing
Spam and Open Relay Blocking System (SORBS),new.spam.dnsbl,new.spam.dnsbl.sorbs.net,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last 48 hours,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net',,No,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),recent.spam.dnsbl,recent.spam.dnsbl.sorbs.net,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last 28 days,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net',,No,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),old.spam.dnsbl,old.spam.dnsbl.sorbs.net,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last year,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net',,No,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),spam.dnsbl,spam.dnsbl.sorbs.net,Hosts that have allegedly sent spam to the admins of SORBS or SORBS Spamtraps at any time,SORBS Admin and Spamtrap.,Until delisting requested.,,No,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),escalations.dnsbl,escalations.dnsbl.sorbs.net,Netblocks of service providers believed to support spammers,SORBS Admin fed.,Until delisting requested and matter resolved.,Service providers are added on receipt of a 'third strike' spam,Yes,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),block.dnsbl,block.dnsbl.sorbs.net,Hosts demanding that they never be tested,Request by host,N/A,,No,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),zombie.dnsbl,zombie.dnsbl.sorbs.net,Hijacked networks,SORBS Admin (manual submission),Until delisting requested.,,No,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),dul.dnsbl,dul.dnsbl.sorbs.net,Dynamic IP address ranges,SORBS Admin (manual submission),Until delisting requested.,Not a list of dial-up IP addresses,No,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),noservers.dnsbl,noservers.dnsbl.sorbs.net,No Servers Permitted by ISP Policy,Netblock Owner Administered,Not Applicable.,No Servers Permitted by ISP Policy,No,Via SORBS Report Manager
Spam and Open Relay Blocking System (SORBS),rhsbl,rhsbl.sorbs.net,Aggregate RHS zones,N/A,N/A,,No,No
Spam and Open Relay Blocking System (SORBS),badconf.rhsbl,badconf.rhsbl.sorbs.net,Domains with invalid A or MX records in DNS,Open submission via automated testing page.,Until delisting requested.,,No,No
Spam and Open Relay Blocking System (SORBS),nomail.rhsbl,nomail.rhsbl.sorbs.net,Domains which the owners have confirmed will not be used for sending email,Owner submission,Until delisting requested.,,No,No
Spamhaus,Spamhaus Blocklist (SBL),sbl.spamhaus.org,"This list contains IP addresses that are observed to be involved in sending spam, snowshoe spamming, botnet command and controllers (C&Cs), bulletproof hosting companies and hijacked IP space.",Manual,"From five minutes to a year or more, depending on issue and resolution",,Rarely (escalation),Yes (partial)
Spamhaus,eXploits Blocklist (XBL),N/A,"This lists the individual IPs (/32s) that are infected with malware, worms, and Trojans; third party exploits, such as open proxies; or devices controlled by botnets. The constantly updated list is designed to protect networks from malware and spam by preventing mailservers  from accepting connections from compromised computing devices.",Third-party with automated additions,"Varies, under a month, self removal via Composite Blocking List lookup.",Consists of the Composite Blocking List,No,No
Spamhaus,Extended eXploits Blocklist (eXBL),N/A,This list is a real-time database of raw and filtered feeds that provides additional information on hijacked IP addresses. The eXBL is available to selected security organizations and cyber incident response teams.,Third-party with automated additions,"Varies, under a month, self removal via Composite Blocking List lookup.",Consists of the Composite Blocking List,No,No
Spamhaus,Domain Blocklist (DBL),dbl.spamhaus.org,"Domains owned by spammers and used for spam or other malicious purposes. This blocklist also contains domains owned by non-spammers which are used for legitimate purposes, but have been hijacked by spammers.",Ranking of over 80 different metrics and machine learning,A few days. Self-removal  generally allowed.,,{{}},Rarely
Spamhaus,Enhanced Domain Blocklist (eDBL),dbl.spamhaus.org,"This list provides detailed information on each domain listing and is available via an API. This enables you to query the DBL engine, returning a JSON record for each domain that you are investigating.
The Enhanced Domain Blocklist (eDBL) helps you to track a particular domain's score over a longer period, or combine Domain Blocklist data with information from your own threat intelligence platform.",,A few days. Self-removal  generally allowed.,,{{}},Rarely
Spamhaus,Policy Blocklist (PBL),pbl.spamhaus.org,"This list includes IP address ranges for end-user devices, such as home routers, smart TVs, and other Information of Things (IoT) devices, from which email should never be sent.  This protects networks from the potential of being compromised by malware spread by botnet command and controller servers (C&Cs).","Manual, by providers controlling the IPs or by Spamhaus PBL Team",Self-removal (see spamhaus web site),Should not be confused with the MAPS DUL and Wirehub Dynablocker lists,No,No
Spamhaus,Hash Blocklist (HBL),hbl.spamhaus.org,"This list contains the following content areas: Cryptowallet (Bitcoin etc.), Malware and Email addresses.
Hash Blocklists (HBL) are lists of cryptographic hashes associated with malicious content, as opposed to IP addresses or domains. They are extremely useful for filtering fraudulent emails coming from ISPs, domains, or IP addresses that Spamhaus is unable to list e.g. Gmail. Additionally, they can block emails containing malware files.","Manual, by providers controlling the IPs or by Spamhaus PBL Team",Self-removal (see spamhaus web site),,No,No
Spamhaus,Zero Reputation Domains (ZRD),<key>.authbl.dq.spamhaus.net,"This lists newly registered domains for 24 hours. Domains that have just been registered are rarely used by legitimate organizations immediately. Cybercriminals register and burn 100s of domains daily.
The Zero Reputation Domain (ZRD) blocklist helps to protect your users from clicking on links and visiting newly registered domains until it is established that they are not associated with zero day attacks; phishing, bot-herding, spyware and ransomware campaigns.",Automated,24 hours,,No,No
Spamhaus,Zen,zen.spamhaus.org,"A single lookup for querying the SBL, XBL and PBL databases.",,,Preferred list to check all Spamhaus listings with one query.,As per component list,As per component list
IBM DNS Blacklist,Cobion,dnsbl.cobion.com ,,,,This DNSBL zone is part of the default configuration for Proventia Mail Security System and Lotus Protector for Mail Security,No,No
Passive Spam Block List,PSBL,psbl.surriel.com (also free available via rsync [1]),IP addresses used to send spam to trap,spamtraps,"Temporary, until spam stops",,No,No
DNSRBL - DNS Real-time Blackhole List,DNSRBL,dnsrbl.org,IP addresses used to send spam to trap,spamtraps,"Temporary, until spam stops",,No,No
Weighted Private Block List,WPBL,db.wpbl.info,IP addresses used to send UBE to members,spamtraps,"Temporary, until spam stops",,No,No
SpamCop Blocking List,SCBL,bl.spamcop.net,IP addresses which have been used to transmit reported email to SpamCop users,Users submit,"Temporary, until spam stops, has self removal",,No,Yes (partial)
SpamRats,RATS-NoPtr,noptr.spamrats.com,"IP addresses detected as abusive at ISP's using MagicMail Servers, with no reverse DNS service",Automatically Submitted,"Listed until removed, and reverse DNS configured",,Yes,No
SpamRats,RATS-Dyna,dyna.spamrats.com,"IP addresses detected as abusive at ISP's using MagicMail Servers, with non-conforming reverse DNS service (See Best Practises) indicative of compromised systems",Automatically Submitted,"Listed until removed, and reverse DNS set to conform to Best Practises",,Yes,No
SpamRats,RATS-Spam,spam.spamrats.com,"IP addresses detected as abusive at ISP's using MagicMail Servers, and manually confirmed as spam sources",Manually Submitted,Listed until removed,,Yes,No
SpamRats,RATS-Auth,auth.spamrats.com,IP addresses detected probing passwords or authenticating without sending mail,Automatically Submitted,Listed until removed,,Yes,No
Junk Email Filter,Hostkarma,hostkarma.junkemailfilter.com,Detects viruses by behavior using fake high MX and tracking non-use of QUIT,Automated [de]listing,Black list Data lives for 4 days. White list data lives for 10 days.,127.0.0.1=white 127.0.0.2=black 127.0.0.3=yellow,Yes,No
"Heise Zeitschriften Verlag GmbH & Co. KG, hosted by manitu GmbH",NiX Spam (nixspam),ix.dnsbl.manitu.net,"Lists single IPs (no IP ranges) that send spam to spamtraps. Lists mailhosts, rather than domains, and thus blocks entire hosting providers and ISPs.","Automated listing due to spamtrap hits. Exceptions apply to bounces, NDRs and whitelisted IPs.",12 hours after last listing or until self delisting,TXT records provide information of listing incident - NiX Spam also provides hashes for fuzzy checksum plugin (iXhash) for SpamAssassin.,No,Yes (for ISPs/ESPs on request)
blocklist.de [2],dnsbl,bl.blocklist.de,"IP-Addresses who Attacks other Server/Honeypots over ssh, imap, smtp, ftp, web, rfi, sqli, ddos....",Automatic: over Honeypots and with over 515 Users and 630 Servers from blocklist.de via Fail2Ban or own scripts,Automatic: 48 Hours after the last Attack. But earlier remove is available over the Delist-Link,Services are free. Source data is from Honeypot-Systems and over 515 User with 630 Servern there reports Attacks with Fail2Ban,No,Yes
s5h.net Internet Services,s5h.net,all.s5h.net,"Spam sources from email, forums, referrer spam and dictionary attacks",Traps,Twelve months unless ISPs request removal earlier,By request. ISPs can provide request exclusion.,Yes,No
realtimeBLACKLIST.com,RBL,rbl.realtimeblacklist.com,Spam Trap,List of IP addresses that sends spam or causing troubles with botnets or phishing,Until delisting requested.,Removal requests will be investigated and processed within 24 hours of submission. Previously known as IPrange.net RBL Project,No,No
James Sawyer,Blocklist,security.jamessawyer.co.uk,"Collection of Bad Actors from various sources, Works great with PiHole for personal use.","Spammers, Scammers, Malware, Cryptominers, TOR, botnets, phishing, attackers, harvesters, exfiltration etc. Basically anything and everything ""bad""",Until delisting requested.,Removal requests will be investigated. Contact details provided.,Yes,No
BarracudaCentral,RBL,b.barracudacentral.org,Spam Trap,Provides a list of IP addresses which are sending spam. The Barracuda Reputation system uses automated collection methods to add and delete IP addresses from the BRBL.,Until delisting requested.,Requires registration of administrator and hosts to use. Removal requests are typically investigated and processed within 12 hours of submission if provided with a valid explanation.,No,No
SPFBL.net,RBL,dnsbl.spfbl.net,"Bad reputation, difficult to identify the responsible, dynamic IP, SLAAC flag without genuine email service and inappropriate use of the URL",Provides a list of IPv4/IPv6 addresses and domains which are sending spam or phishing.,Until delisting requested or seven days with good reputation.,The feedback system runs at SMTP layer. See https://spfbl.net/en/feedback,Yes,Yes
LashBack,UBL,ubl.unsubscore.com,IP addresses which have sent email to addresses harvested from suppression (opt-out) files,Traps,For 30 days after last offending message unless removal is requested,,No,No
The NordSpam Project,NordSpam IP Blacklist,bl.nordspam.com,"IP addresses detected as unsolicited bulk/commercial email senders, webspam",Manual,Until delisting requested.,Removal requests are manually reviewed and processed without fees.,Rarely (escalation),Sometimes
The NordSpam Project,NordSpam Domain Blacklist,dbl.nordspam.com,"Unsolicited bulk/commercial email senders, webspam",Manual,Until delisting requested.,Removal requests are manually reviewed and processed without fees.,No,Sometimes
0Spam Project,DNSBL,0spam.fusionzero.com,Spam Traps,"A single IP(127.0.0.#) is listed upon sending spam to a spam trap, sending from multiple IPs within a range within a short period of time will result in a class C listing(127.0.#.0).",Until an IP owner/authorized admin requests listing removal.,"Single IP Listed with Data result 127.0.0.#
Class C IP Block Listed with Data result 127.0.#.0
Codes are as follows: (ie. General spam single IP result 127.0.0.1) 

general spam, Sending spam to our spam traps.
Removal request made but missing required information, please make a new request and be sure to complete the form properly.
Does not follow valid can-spam rules for newsletters / lists.
Not RFC compliant, server errors or improper configuration.
Repeat offenders, these are IP's that have been removed and listed again (3) or more times in a short period of time.
Bouncing email to the wrong server, RFC-non-compliant configurations.
Relay or Open relay with reports of spam.
bouncing spoofed emails, you need to disable bounce of spoofed emails in order to get de listed.
Fraud/Scam emails, malware or illegal/abusive content.",No,No
Brukalai.lt,DNSBL,black.dnsbl.brukalai.lt,IPs and domains for junk mail filtering (aggregate zone).,Mostly automatic with some manual additions.,Until delisting requested.,,Yes,No
