,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Moldova,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
Snow or ice,, ,,,,NOT USED,NOT USED,,, ,,, ,,,,,,, , (Belarus),,,,NOT USED,  [note 1],, , ,NOT USED
Fog likely,,,,,, ,NOT USED,,,,,,,,,,,NOT USED,,,NOT USED, DEFUNCT,,,NOT USED, [note 2],,,NOT USED,NOT USED
Opening or swing bridge,,,,,NOT USED,,,,,,NOT USED,,,,,,,,,,,NOT USED,,,,NOT USED,,,,
Unprotected quayside or riverbank,,,,,,,,,, or ,,,,,,,,,,,,NOT USED,,,,NOT USED,,, or ,
Domestic animals,,,,,,NOT USED,,,,,,,,,,,,,,,,,,,,,,,,
Wild animals,,,,,, or ,,,,,,,,,,,,,,,,,,,,,,,,
Tunnel ahead,NOT USED,NOT USED,,,NOT USED,NOT USED,NOT USED,NOT USED,,,,,NOT USED,NOT USED,,NOT USED,,NOT USED,,,, DEFUNCT,,NOT USED,,REPLACED by sign no. 4.07a [note 3][7],,,,
Accident area / accident ahead,NOT USED,NOT USED,,NOT USED,,NOT USED,, ,NOT USED, ,NOT USED,, ,,,,,,,, (Belarus), DEFUNCT,,,, [note 4],NOT USED,  or , ,NOT USED
Roadworks ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other danger,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
Other danger (temporary),NOT USED,NOT USED,NOT USED,NOT USED,,NOT USED,,NOT USED,,NOT USED,NOT USED,NOT USED,,NOT USED,,NOT USED,,NOT USED,,NOT USED,NOT USED,NOT USED,NOT USED,,NOT USED,NOT USED,,NOT USED,NOT USED,NOT USED
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Moldova,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
