,string to integer,string to long integer,string to floating point,integer to string,floating point to string
Java, integer = Integer.parseInt(string);, long = Long.parseLong(string);, float = Float.parseFloat(string);  double = Double.parseDouble(string);, string = Integer.toString(integer); string = String.valueOf(integer);, string = Float.toString(float); string = Double.toString(double);
JavaScript[a], integer = parseInt(string);, integer = parseInt(string);," float = parseFloat(string); float = new Number (string);
 float = Number (string);
 float = +string;"," string = number.toString ();  string = String (number);  string = number+"""";  string = `${number}`"," string = number.toString ();  string = String (number);  string = number+"""";  string = `${number}`"
Go," integer, error = strconv.Atoi(string)  integer, error = strconv.ParseInt(string, 10, 0)"," long, error = strconv.ParseInt(string, 10, 64)"," float, error = strconv.ParseFloat(string, 64)"," string = strconv.Itoa(integer) string = strconv.FormatInt(integer, 10)
 string = fmt.Sprint(integer)", string = strconv.FormatFloat(float) string = fmt.Sprint(float)
Rust[d],string.parse::<i32>() i32::from_str(string),string.parse::<i64>() i64::from_str(string),string.parse::<f64>() f64::from_str(string),integer.to_string(),float.to_string()
Common Lisp,(setf integer (parse-integer string)),(setf integer (parse-integer string)), (setf float (read-from-string string)),(setf string (princ-to-string number)),(setf string (princ-to-string number))
Scheme,(define number (string->number string)),(define number (string->number string)),(define number (string->number string)),(define string (number->string number)),(define string (number->string number))
ISLISP,(setf integer (convert string <integer>)),(setf integer (convert string <integer>)), (setf float (convert string <float>)),(setf string (convert number <string>)),(setf string (convert number <string>))
Pascal, integer := StrToInt(string);,, float := StrToFloat(string);, string := IntToStr(integer);, string := FloatToStr(float);
Visual Basic,integer = CInt(string),long = CLng(string),float = CSng(string)  double = CDbl(string),string = CStr(number),
"Visual Basic .NET
(can use both VB syntax above
and .NET methods shown right)", integer = Integer.Parse(string), long = Long.Parse(string), float = Single.Parse(string) double = Double.Parse(string),string = number.ToString(),string = number.ToString()
Xojo,integer = Val(string),long = Val(string),double = Val(string) double = CDbl(string), string = CStr(number) or string = Str(number), string = CStr(number) or string = Str(number)
Python, integer = int(string), long = long(string), float = float(string),string = str(number),string = str(number)
S-Lang, integer = atoi(string);, long = atol(string);, float = atof(string);,string = string(number);,string = string(number);
Fortran,"READ(string,format) number","READ(string,format) number","READ(string,format) number","WRITE(string,format) number","WRITE(string,format) number"
PHP, integer = intval(string); or integer = (int)string;, integer = intval(string); or integer = (int)string;, float = floatval(string); float = (float)string;," string = ""$number""; or string = strval(number); or
 string = (string)number;"," string = ""$number""; or string = strval(number); or
 string = (string)number;"
Perl[b], number = 0 + string;, number = 0 + string;, number = 0 + string;," string = ""number"";"," string = ""number"";"
Raku, number = +string;, number = +string;, number = +string;, string = ~number;, string = ~number;
Ruby, integer = string.to_i or integer = Integer(string), integer = string.to_i or integer = Integer(string), float = string.to_f float = Float(string), string = number.to_s, string = number.to_s
Scala, integer = string.toInt, long = string.toLong, float = string.toFloat double = string.toDouble,string = number.toString,string = number.toString
Smalltalk, integer := Integer readFrom: string, integer := Integer readFrom: string, float := Float readFrom: string, string := number asString, string := number asString
Windows PowerShell, integer = [int]string, long = [long]string, float = [float]string,"string = [string]number; or string = ""number""; or string = (number).ToString()","string = [string]number; or string = ""number""; or string = (number).ToString()"
OCaml, let integer = int_of_string string,, let float = float_of_string string, let string = string_of_int integer, let string = string_of_float float
F#, let integer = int string, let integer = int64 string, let float = float string, let string = string number, let string = string number
Standard ML, val integer = Int.fromString string,, val float = Real.fromString string, val string = Int.toString integer, val string = Real.toString float
Haskell (GHC), number = read string, number = read string, number = read string, string = show number, string = show number
COBOL,MOVE «FUNCTION» NUMVAL(string)[c] TO number,MOVE «FUNCTION» NUMVAL(string)[c] TO number,MOVE «FUNCTION» NUMVAL(string)[c] TO number,MOVE number TO numeric-edited,MOVE number TO numeric-edited
