Rhapsody,RealNetworks,"January 1, 2003",14.0 (16 October 2006) [±],(subscription required),Proprietary,,
Rhythmbox,Colin Walters,"April 1, 2004","3.4.4 (January 4, 2020; 9 months ago (2020-01-04)) [±]",Free,GPL,GStreamer,C
Sayonara Player,Michael Lugmair (until 2020 under the pseudonym Lucio Carreras),2011,1.5.1-stable5 / 29 August 2019,Free,GPLv3,GStreamer,C++
Songbird,POTI Inc.,"February 8, 2006","2.2.0, Build 2453 (February 4, 2013; 7 years ago (2013-02-04)) [±]",Free,GPL,GStreamer,
Sonic Visualiser,"Centre for Digital Music at Queen Mary, University of London","May 10, 2007","3.1.1 (August 14, 2018)",Free,GPLv2 or later,,
Sonique,Media Science,"November 1, 1998",1.96 (March 2002),Free,Proprietary,,
Spotify,Spotify LTD,"October 7, 2008","Android8.5.78.909 / October 7, 2020; 26 days ago (2020-10-07)[10]Android Wear8.5.47.1006 / February 26, 2020; 8 months ago (2020-02-26)iOS8.5.81 / October 21, 2020; 12 days ago (2020-10-21)[11]Windows 10 (Microsoft Store)1.145.621.0 / November 1, 2020; 1 day ago (2020-11-01)[12]macOS1.1.44.538 / October 17, 2020; 16 days ago (2020-10-17)[13]Linux1.1.42.622 / September 24, 2020; 39 days ago (2020-09-24)[14]",Android,"8.5.78.909 / October 7, 2020; 26 days ago (2020-10-07)[10]",Android Wear,"8.5.47.1006 / February 26, 2020; 8 months ago (2020-02-26)",iOS,"8.5.81 / October 21, 2020; 12 days ago (2020-10-21)[11]",Windows 10 (Microsoft Store),"1.145.621.0 / November 1, 2020; 1 day ago (2020-11-01)[12]",macOS,"1.1.44.538 / October 17, 2020; 16 days ago (2020-10-17)[13]",Linux,"1.1.42.622 / September 24, 2020; 39 days ago (2020-09-24)[14]",Non-free,Proprietary,,
Android,"8.5.78.909 / October 7, 2020; 26 days ago (2020-10-07)[10]"
Android Wear,"8.5.47.1006 / February 26, 2020; 8 months ago (2020-02-26)"
iOS,"8.5.81 / October 21, 2020; 12 days ago (2020-10-21)[11]"
Windows 10 (Microsoft Store),"1.145.621.0 / November 1, 2020; 1 day ago (2020-11-01)[12]"
macOS,"1.1.44.538 / October 17, 2020; 16 days ago (2020-10-17)[13]"
Linux,"1.1.42.622 / September 24, 2020; 39 days ago (2020-09-24)[14]"
Style Jukebox,Digital Geek LTD,"July 1, 2009","2.2.1 (October 8, 2016; 4 years ago (2016-10-08)) [±]",Free,Proprietary,,C#
Winamp,Nullsoft,"April 21, 1997","5.8.3660 (October 19, 2018; 2 years ago (2018-10-19)) [±]",Free,Proprietary,Wasabi,C/C++
XMMS,XMMS Team,"November 1, 1997","1.2.11 (November 16, 2007; 12 years ago (2007-11-16)) [±]",Free,GPL,original,C
XMPlay,Un4seen Developments,1998,"3.8 (December 23, 2013)",Free,Proprietary,BASS audio library,
Name,Author,First public release,Stable version,Cost,Software license,Based framework,Written in
