,calling a function,basic/void function,value-returning function,required main function
Scala,foo«(parameters)»,def foo«(parameters)»«: Unit =» { instructions },def foo«(parameters)»«: type» = { instructions ... «return» value },def main(args: Array[String]) { instructions }
Windows PowerShell,foo «parameters»,function foo  { instructions }; or function foo { «param(parameters)» instructions },function foo «(parameters)»  { instructions  … return value }; or function foo { «param(parameters)» instructions … return value },N/A
Bash shell,foo «parameters»,"
function foo { 
    instructions 
} 
or 
foo () { 
    instructions 
 }","
function foo { 
    instructions 
    return «exit_code» 
} 
or 
foo () { 
    instructions 
    return «exit_code» 
 }",N/A
Bash shell,foo «parameters»,"
parameters
$n ($1, $2, $3, ...)
$@ (all parameters)
$# (the number of parameters)
$0 (this function name)","
parameters
$n ($1, $2, $3, ...)
$@ (all parameters)
$# (the number of parameters)
$0 (this function name)",N/A
OCaml,foo parameters,let «rec» foo parameters = instructions,let «rec» foo parameters = instructions... return_value,N/A
F#,foo parameters,let «rec» foo parameters = instructions,let «rec» foo parameters = instructions... return_value,[<EntryPoint>] let main args = instructions
Standard ML,foo parameters,fun foo parameters = ( instructions ),fun foo parameters = ( instructions... return_value ),
Haskell,foo parameters,foo parameters = do Tab ↹ instructions,foo parameters = return_value  or  foo parameters = do Tab ↹ instructions Tab ↹ return value,«main :: IO ()»  main = do instructions
Eiffel,foo («parameters»),foo («parameters») require preconditions do instructions ensure postconditions end,foo («parameters»): type require preconditions do instructionsResult := value ensure postconditions end,[b]
CoffeeScript,foo(),foo = ->,foo = -> value,N/A
CoffeeScript,foo parameters,foo = () ->,foo = ( parameters ) -> value,N/A
COBOL,"CALL ""foo"" «USING parameters»  «exception-handling»  «END-CALL»[d]","«IDENTIFICATION DIVISION.» 
PROGRAM-ID. foo. 
«other divisions...» 
PROCEDURE DIVISION «USING parameters». 

 instructions. ","«IDENTIFICATION DIVISION.» 
PROGRAM-ID/FUNCTION-ID. foo. 
«other divisions...» 
DATA DIVISION. 
«other sections...» 
LINKAGE SECTION. 
«parameter definitions...» 
variable-to-return definition 
«other sections...» 
PROCEDURE DIVISION «USING parameters» RETURNING variable-to-return. 

 instructions.",N/A
COBOL,«FUNCTION» foo«(«parameters»)»,N/A,"«IDENTIFICATION DIVISION.» 
PROGRAM-ID/FUNCTION-ID. foo. 
«other divisions...» 
DATA DIVISION. 
«other sections...» 
LINKAGE SECTION. 
«parameter definitions...» 
variable-to-return definition 
«other sections...» 
PROCEDURE DIVISION «USING parameters» RETURNING variable-to-return. 

 instructions.",N/A
