Afrikaans,Dutch,English
Kanada,Canada,Canada
Kersfees,Kerstmis (Catholic)  Kerstfeest (Protestant),Christmas
kitsbank,"geldautomaat,  bankautomaat","cash machine, ATM"
koerant,krant courant older term,newspaper
kombuis,"keuken kombuis means ""galley""",kitchen
konserwatief,conservatief,conservative
kopiereg,"copyright, auteursrecht",copyright
landdros,magistraat,magistrate
lê,"leggen, liggen","lie, lay"
leër,"landmacht, leger",army
lemmetjie,limoen lemmetje (Suriname),lime
lemoen,sinaasappel  (Netherlands) appelsien (Belgium),orange
Lid van Parlement (LP),"parlementslid, kamerlid",Member of Parliament (MP)
lirieke,songtekst,lyrics
lokprent,trailer,film trailer
lugmag,luchtmacht,air force
lughawe,"luchthaven, vliegveld",airport
lugpos,luchtpost,airmail
lugredery,luchtvaartmaatschappij,airline
lugwaardin,stewardess luchtwaardin older Belgian purism,air hostess  air stewardess
maalvleis,gehakt,mincemeat
mal oor,gek op,mad about
masjienkap,motorkap,bonnet (UK)  hood (US) 
meisie,"meisje, meid",girl
mekaar,elkaar mekaar dialectal,each other
melkskommel,milkshake,milkshake
moffie,homo,"gay, effeminate man"
moltrein,metro,"metro, subway train"
moontlik,mogelijk,possible
muurpapier,behang,wallpaper
na,naar,to
ná,na,after
naby,"dichtbij, nabij",close to
naweek,weekend  weekeinde sometimes used ,weekend
nie,niet,not
niggie,nichtje,niece
Nieu-Seeland,Nieuw-Zeeland,New Zealand
nuus,nieuws,news
"nuusblad, nuustydskrif","opinieblad, nieuwsblad","news magazine, news letter"
onderskrifte,ondertitels,subtitles
oomblik,"moment, ogenblik",moment
"oopmaak, maak oop","openen, openmaken",to open
oorklanking,nasynchronisatie,dubbing
oorspronklik,origineel oorspronkelijk used only in relation to the origin or beginning,original
oos,oost,east
openbare maatskappy,naamloze vennootschap (NV),public limited company
"ou, outjie","kerel, gozer","guy, bloke"
outomaties,automatisch,automatic
padda,"kikker pad means ""toad""",frog
passasier,passagier,passenger
perd,paard,horse
peuselhappie,"snack, tussendoortje",snacks
piesang,banaan pisang less common term ,banana
pikkewyn,"pinguïn, vetgans",penguin
polisiebeampte,politieagent politiebeambte used formally,police officer
"polisiestasie, polisiekantoor",politiebureau politiekantoor rare term,police station
posbus,postbus,post office box
poskantoor,postkantoor,post office
"posman, posbode",postbode,postman
prokureur,advocaat,"attorney, solicitor, lawyer"
pynappel,"ananas pijnappel older term, now means ""pine cone""",pineapple
ratel,honingdas ratel considered archaic,honey badger
"reisagent, reisagentskap",reisbureau (Netherlands) reisagentschap (Belgium),"travel agent,  travel agency"
rekenaar,"computer rekentuig purism, considered dated",computer
renoster,neushoorn renoster considered archaic,rhinoceros
rolprent,film rolprent considered dated,film
rubriekskrywer,columnist,newspaper columnist
sakrekenaar,"rekenmachine, zakrekenmachine, calculator",calculator
sambreel,"paraplu sombreel means ""parasol""",umbrella
sampioen,champignon,mushroom
saans,'s avonds,in the evening
sê,zeggen,say
seekoei,"nijlpaard zeekoe older term, now means ""sea cow"""
selfoon,"mobiele telefoon, mobieltje (Netherlands) GSM (Belgium) cellulair, cell (Suriname)","mobile phone(UK)  cellphone(US, South Africa)"
sent,cent,cent
seuntjie,"jongen zoontje means ""(small) son""","boy, young man"
sinies,cynisch,cynical
sinkplaat,golfplaat,corrugated iron
sjokolade,chocolade,chocolate
"skadu, skaduwee","schaduw, schaduwbeeld",shadow
skakel,"bellen schakelen means ""to change gear""","dial, call (telephone number)"
skeelhoofpyn,migraine,migraine
skootrekenaar,laptop schootcomputer sometimes used,laptop
skurf,"ruw schurft means ""scabies""",rough
slagoffer,slachtoffer,victim
slaptjips,frieten,"french fries, chips"
snippermandjie,prullenmand,wastepaper basket
soet,zoet,sweet
sokker,voetbal,"football, soccer"
soos,"als, zoals","like, such as"
spinnekop,spin spinnenkop sometimes used,spider
spoed,snelheid,speed
staatsdiens,civiele dienst (Netherlands)  overheidsdienst (Belgium),"civil service, public service"
stasie,station statie older term,station
Statebond,"Gemenebest van Naties  statenbond sometimes used for ""confederation""",Commonwealth of Nations
stasiewa,stationwagen,"station wagon, estate"
streek,"streek, gewest, regio",region
stuurwiel,stuur,steering wheel
suid,zuid,south
suiwer,zuiver,clean
suurlemoen,citroen,lemon
sypaadjie,"stoep, trottoir, voetpad","pavement (UK),  sidewalk  (US)"
tjek,cheque,"cheque, check"
toeter,"toeter, claxon","hooter (UK),  horn (US)"
troeteldier,huisdier,pet (animal)
tuisblad,"homepagina, thuispagina",homepage
uitgawe,"editie, uitgave uitgaven can also mean ""expenditure""","edition, version"
uitsaai,"omroep, uitzending uitzaaiing means ""metastasis""",broadcasting
uurglas,zandloper,hourglass
van,"achternaam, van",surname
vanaand,vanavond,this evening
vanmôre,vanmorgen,this morning
vat,pakken,"seize, clutch"
"verkleurmannetjie (also trapsoetjies, trapsuutjies)",kameleon verkleurmannetje considered archaic,chameleon
vir,voor,for
"vlak, peil","niveau, peil",level
"vlugbeampte, vlugkelner",steward,"air steward, flight attendant"
voetsek! (voert sê ek!),verdwijn!,get lost! away with you!
vrieskas,"vrieskist, diepvries, diepvriezer, vrieskast",freezer
vulstasie,tankstation,"filling station, petrol station, service station"
vuurhoutjie,lucifer vuurhoutje considered dated,"match, light"
wa,wagen,wagon
wasbak,"wasbak, wastafel","washbasin, sink"
wat,"welke, wie","which, who"
webwerf,website webstek purism,website
weermag,krijgsmacht weermacht sometimes used,"defence force, armed forces"
wêreldwyd,wereldwijd,worldwide
wees,zijn wezen sometimes used informally,to be
wes,west,west
woonstel,"appartement, flat","apartment, flat"
yskas,"ijskast, koelkast",refrigerator
Ysland,IJsland,Iceland
yster,ijzer,iron
