Distribution,x86,x86-64,arm,ia64,ppc[112],ppc64,sparc32,sparc64,hppa[113],loongson,mips[114],sh,s390,s390x,alpha[115],m68k[116],riscv
Finnix,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Gentoo[139],Yes,Yes,Yes[140],Yes,Yes,Yes,Yes,Yes,Yes,Yes[141],Yes[142][143],Yes,Yes,Yes,Yes,Yes,Test release[144]
gNewSense,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Guix System[145],Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,In progress[146]
Hyperbola GNU/Linux-libre,Yes,Yes,No,No,No,In progress[147],No,No,No,No,No,No,No,No,No,No,In progress[148]
Kali Linux,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
LibreCMC,No,No,No,No,No,No,No,No,No,No,Yes XBurst,No,No,No,No,No,No
Manjaro Linux,Yes Unofficial[149],Yes,Yes[150],No,No,No,No,No,No,No,No,No,No,No,No,No,No
MEPIS,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Musix GNU+Linux,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
OpenELEC,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
openSUSE Leap,No,Yes,v7 64,No,No,ppc64le,No,No,No,No,No,No,No,No,No,No,No
openSUSE Tumbleweed,Yes,Yes,v6 v7 64,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,RV64G
OpenWrt[151],Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No
Oracle Linux[152],Yes,Yes,No,Discontinued 5[153],No,No,No,No,No,No,No,No,No,No,No,No,No
Parabola GNU/Linux-libre,Yes,Yes,"Yes, ARMv7[154][155]",No,No,Test release[156],No,No,No,Discontinued[157],Discontinued[157],No,No,No,No,No,Test release[158]
Red Flag Linux,Discontinued 8.0[159],Discontinued 8.0[159],No,Discontinued 3[160],No,Discontinued 3[160],No,No,No,No,No,No,No,No,No,No,No
Red Hat Linux[161],Discontinued 9.0,No,No,Discontinued 7.1-7.2,Test release 5.1[162],No,Discontinued 4.0-4.2 5.1-6.2,Test release 5.1[162],No,No,Test release 5.1[162],No,Discontinued 7.2,Yes,Discontinued 2.1-7.1,Test release 5.1[162],No
Red Hat Enterprise Linux[163],Discontinued 2.1-6[164],Yes 3+,Yes[165],Discontinued 2.1-5[166],Yes 3+,Yes 3+,No,No,No,No,No,No,Discontinued 3-4[167],Yes 3+,No,No,No
Sabayon Linux,Discontinued,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Scientific Linux,Yes,Yes,No,Discontinued 3-4,No,No,No,No,No,No,No,No,No,No,No,No,No
SHR,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Slackware,Yes,Yes,Yes,No,No,No,Discontinued ?[168],No,No,No,No,No,Discontinued ?[169],Discontinued ?[169],Discontinued 8.1[170],No,No
Solus,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Source Mage GNU/Linux,Yes,Yes,No,No,Yes,No,No,No,No,?,No,No,No,No,No,No,No
SUSE Linux Enterprise Server[171],Yes,Yes,AArch64 only[172],Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No
Trisquel GNU/Linux,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TurnKey GNU/Linux,Selected ISOs available,Yes,No - but under development by community,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ubuntu/Kubuntu/Xubuntu/Lubuntu,Discontinued from Ubuntu 20.04 ,Yes,"Yes, including 64-bit ARMv8-A",No,Yes,Yes,No,No,No,No,No,No,No,"Ubuntu only, 16.04+[173]",No,No,No
Ututo,Yes,Yes,No,No,No,No,No,No,No,In progress,No,No,No,No,No,No,No
Void Linux,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
XBMCbuntu,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yellow Dog Linux,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Distribution,x86,x86-64,arm,ia64,ppc,ppc64,sparc32,sparc64,hppa,loongson,mips,sh,s390,s390x,alpha,m68k,riscv
